"Date","Holiday"
2019-01-01,"New Year's Day"
2019-01-28,"Australia Day"
2019-04-19,"Good Friday"
2019-04-20,"Saturday before Easter Sunday"
2019-04-21,"Easter Sunday"
2019-04-22,"Easter Monday"
2019-04-25,"Anzac Day"
2019-06-10,"Queen's Birthday"
2019-08-05,"Bank Holiday"
2019-10-07,"Labour Day"
2019-12-25,"Christmas Day"
2019-12-26,"Boxing Day"
2020-01-01,"New Year's Day"
2020-01-27,"Australia Day"
2020-04-10,"Good Friday"
2020-04-11,"Easter Saturday - the Saturday following Good Friday"
2020-04-12,"Easter Sunday"
2020-04-13,"Easter Monday"
2020-04-25,"Anzac Day"
2020-06-08,"Queen's Birthday"
2020-08-03,"Bank Holiday"
2020-10-05,"Labour Day"
2020-12-25,"Christmas Day"
2020-12-26,"Boxing Day"
2020-12-28,"Boxing Day (Additional day)"
2021-01-01,"New Year's Day"
2021-01-26,"Australia Day"
2021-04-02,"Good Friday"
2021-04-03,"Easter Saturday"
2021-04-04,"Easter Sunday"
2021-04-05,"Easter Monday"
2021-04-25,"Anzac Day"
2021-06-14,"Queen's Birthday"
2021-08-02,"Bank Holiday"
2021-10-04,"Labour Day"
2021-12-25,"Christmas Day"
2021-12-26,"Boxing Day"
2021-12-27,"Christmas (additional day)"
2021-12-28,"Boxing Day (additional day)"
2022-01-01,"New Year's Day"
2022-01-03,"New Year's Day (additional day)"
2022-01-26,"Australia Day"
2022-04-15,"Good Friday"
2022-04-16,"Easter Saturday - the Saturday following Good Friday"
2022-04-17,"Easter Sunday"
2022-04-18,"Easter Monday"
2022-04-25,"Anzac Day"
2022-06-13,"Queen's Birthday"
2022-08-01,"Bank Holiday"
2022-10-03,"Labour Day"
2022-12-25,"Christmas Day"
2022-12-26,"Boxing Day"
2022-12-27,"Christmas (additional day)"
2023-01-01,"New Year's Day"
2023-01-02,"New Year's Day (observed)"
2023-01-26,"Australia Day"
2023-04-07,"Good Friday"
2023-04-08,"Easter Saturday"
2023-04-09,"Easter Sunday"
2023-04-10,"Easter Monday"
2023-04-25,"Anzac Day"
2023-06-12,"King's Birthday"
2023-08-07,"Bank Holiday"
2023-10-02,"Labour Day"
2023-12-25,"Christmas Day"
2023-12-26,"Boxing Day"
2024-01-01,"New Year's Day"
2024-01-26,"Australia Day"
2024-03-29,"Good Friday"
2024-03-30,"Easter Saturday"
2024-03-31,"Easter Sunday"
2024-04-01,"Easter Monday"
2024-04-25,"Anzac Day"
2024-06-10,"King's Birthday"
2024-08-05,"Bank Holiday"
2024-10-07,"Labour Day"
2024-12-25,"Christmas Day"
2024-12-26,"Boxing Day"
2010-01-01,New Year's Day
2010-01-26,Australia Day
2010-04-02,Good Friday
2010-04-03,Easter Eve
2010-04-04,Easter Sunday
2010-04-05,Easter Monday
2010-04-25,Anzac Day
2010-06-14,Queen's Birthday
2010-10-04,Labour Day
2010-12-27,Christmas Day
2010-12-28,Boxing Day
2011-01-01,New Year's Day
2011-01-26,Australia Day
2011-04-22,Good Friday
2011-04-23,Easter Eve
2011-04-24,Easter Sunday
2011-04-25,Easter Monday
2011-04-25,Anzac Day
2011-06-13,Queen's Birthday
2011-10-03,Labour Day
2011-12-27,Christmas Day
2011-12-26,Boxing Day
2012-01-01,New Year's Day
2012-01-26,Australia Day
2012-04-06,Good Friday
2012-04-07,Easter Eve
2012-04-08,Easter Sunday
2012-04-09,Easter Monday
2012-04-26,Anzac Day
2012-06-11,Queen's Birthday
2012-10-01,Labour Day
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-01-28,2 Australia Day
2013-03-29,Good Friday
